Index,MidpointX,MidpointY,MidpointZ,NozzleX,NozzleY,NozzleZ,PointToX,PointToY,PointToZ,Length,PointX,PointY,PointZ
0,77.0,-34.8125,30.375,5077.0,-19.625,30.375,77.0,-50.0,30.375,30.375,77.0,-19.625,30.375
1,73.045941546018383,-59.545941546018391,30.375,5228.6504294495535,-2183.8834764831854,30.375,69.091883092036781,-69.091883092036781,30.375,20.664905347714846,77.0,-50.0,30.375
2,59.545941546018391,-73.045941546018383,30.375,2202.9753595752222,-5220.7423125415899,30.375,50.0,-77.0,30.375,20.664905347714846,69.091883092036781,-69.091883092036781,30.375
3,40.1875,-77.0,30.375,50.0,-5077.0,30.375,30.375,-77.0,30.375,19.625,50.0,-77.0,30.375
4,15.1875,-77.0,30.375,30.375,-5077.0,30.375,0.0,-77.0,30.375,30.375,30.375,-77.0,30.375
5,-9.8125,-77.0,30.375,0.0,-5077.0,30.375,-19.625,-77.0,30.375,19.625,0.0,-77.0,30.375
6,-34.8125,-77.0,30.375,-19.625,-5077.0,30.375,-50.0,-77.0,30.375,30.375,-19.625,-77.0,30.375
7,-59.545941546018391,-73.045941546018383,30.375,-2183.8834764831854,-5228.6504294495535,30.375,-69.091883092036781,-69.091883092036781,30.375,20.664905347714846,-50.0,-77.0,30.375
8,-73.045941546018383,-59.545941546018391,30.375,-5220.7423125415899,-2202.9753595752222,30.375,-77.0,-50.0,30.375,20.664905347714846,-69.091883092036781,-69.091883092036781,30.375
9,-77.0,-40.1875,30.375,-5077.0,-50.0,30.375,-77.0,-30.375,30.375,19.625,-77.0,-50.0,30.375
10,-77.0,-20.25,20.25,-5076.9999999999991,-30.375,30.375,-77.0,-10.125,10.125,28.637824638055175,-77.0,-30.375,30.375
11,-77.0,-30.0625,10.125,-5077.0,-10.125,10.125,-77.0,-50.0,10.125,39.875,-77.0,-10.125,10.125
12,-73.045941546018383,-59.545941546018391,10.125,-5228.6504294495535,-2183.8834764831854,10.125,-69.091883092036781,-69.091883092036781,10.125,20.664905347714846,-77.0,-50.0,10.125
13,-59.545941546018391,-73.045941546018383,10.125,-2202.9753595752222,-5220.7423125415899,10.125,-50.0,-77.0,10.125,20.664905347714846,-69.091883092036781,-69.091883092036781,10.125
14,-44.9375,-77.0,10.125,-50.0,-5077.0,10.125,-39.875,-77.0,10.125,10.125,-50.0,-77.0,10.125
15,-19.9375,-77.0,10.125,-39.875,-5077.0,10.125,0.0,-77.0,10.125,39.875,-39.875,-77.0,10.125
16,5.0625,-77.0,10.125,0.0,-5077.0,10.125,10.125,-77.0,10.125,10.125,0.0,-77.0,10.125
17,30.0625,-77.0,10.125,10.125,-5077.0,10.125,50.0,-77.0,10.125,39.875,10.125,-77.0,10.125
18,59.545941546018391,-73.045941546018383,10.125,2183.8834764831854,-5228.6504294495535,10.125,69.091883092036781,-69.091883092036781,10.125,20.664905347714846,50.0,-77.0,10.125
19,73.045941546018383,-59.545941546018391,10.125,5220.7423125415899,-2202.9753595752222,10.125,77.0,-50.0,10.125,20.664905347714846,69.091883092036781,-69.091883092036781,10.125
20,77.0,-44.9375,10.125,5077.0,-50.0,10.125,77.0,-39.875,10.125,10.125,77.0,-50.0,10.125
21,77.0,-25.0,0.0,5077.0000000000018,-39.875,10.125,77.0,-10.125,-10.125,35.987845170279364,77.0,-39.875,10.125
22,77.0,-30.0625,-10.125,5077.0,-10.125,-10.125,77.0,-50.0,-10.125,39.875,77.0,-10.125,-10.125
23,73.045941546018383,-59.545941546018391,-10.125,5228.6504294495535,-2183.8834764831854,-10.125,69.091883092036781,-69.091883092036781,-10.125,20.664905347714846,77.0,-50.0,-10.125
24,59.545941546018391,-73.045941546018383,-10.125,2202.9753595752222,-5220.7423125415899,-10.125,50.0,-77.0,-10.125,20.664905347714846,69.091883092036781,-69.091883092036781,-10.125
25,44.9375,-77.0,-10.125,50.0,-5077.0,-10.125,39.875,-77.0,-10.125,10.125,50.0,-77.0,-10.125
26,19.9375,-77.0,-10.125,39.875,-5077.0,-10.125,0.0,-77.0,-10.125,39.875,39.875,-77.0,-10.125
27,-5.0625,-77.0,-10.125,0.0,-5077.0,-10.125,-10.125,-77.0,-10.125,10.125,0.0,-77.0,-10.125
28,-30.0625,-77.0,-10.125,-10.125,-5077.0,-10.125,-50.0,-77.0,-10.125,39.875,-10.125,-77.0,-10.125
29,-59.545941546018391,-73.045941546018383,-10.125,-2183.8834764831854,-5228.6504294495535,-10.125,-69.091883092036781,-69.091883092036781,-10.125,20.664905347714846,-50.0,-77.0,-10.125
30,-73.045941546018383,-59.545941546018391,-10.125,-5220.7423125415899,-2202.9753595752222,-10.125,-77.0,-50.0,-10.125,20.664905347714846,-69.091883092036781,-69.091883092036781,-10.125
31,-77.0,-44.9375,-10.125,-5077.0,-50.0,-10.125,-77.0,-39.875,-10.125,10.125,-77.0,-50.0,-10.125
32,-77.0,-29.75,-20.25,-5077.0,-39.875,-10.125,-77.0,-19.624999999999996,-30.375,28.63782463805518,-77.0,-39.875,-10.125
33,-77.0,-34.8125,-30.375,-5077.0,-19.624999999999996,-30.375,-77.0,-50.0,-30.375,30.375000000000004,-77.0,-19.624999999999996,-30.375
34,-73.045941546018383,-59.545941546018391,-30.375,-5228.6504294495535,-2183.8834764831854,-30.375,-69.091883092036781,-69.091883092036781,-30.375,20.664905347714846,-77.0,-50.0,-30.375
35,-59.545941546018391,-73.045941546018383,-30.375,-2202.9753595752222,-5220.7423125415899,-30.375,-50.0,-77.0,-30.375,20.664905347714846,-69.091883092036781,-69.091883092036781,-30.375
36,-40.1875,-77.0,-30.375,-50.0,-5077.0,-30.375,-30.375000000000004,-77.0,-30.375,19.624999999999996,-50.0,-77.0,-30.375
37,-15.187500000000002,-77.0,-30.375,-30.375000000000004,-5077.0,-30.375,0.0,-77.0,-30.375,30.375000000000004,-30.375000000000004,-77.0,-30.375
38,9.8124999999999982,-77.0,-30.375,0.0,-5077.0,-30.375,19.624999999999996,-77.0,-30.375,19.624999999999996,0.0,-77.0,-30.375
39,34.8125,-77.0,-30.375,19.624999999999996,-5077.0,-30.375,50.0,-77.0,-30.375,30.375000000000004,19.624999999999996,-77.0,-30.375
40,59.545941546018391,-73.045941546018383,-30.375,2183.8834764831854,-5228.6504294495535,-30.375,69.091883092036781,-69.091883092036781,-30.375,20.664905347714846,50.0,-77.0,-30.375
41,73.045941546018383,-59.545941546018391,-30.375,5220.7423125415899,-2202.9753595752222,-30.375,77.0,-50.0,-30.375,20.664905347714846,69.091883092036781,-69.091883092036781,-30.375
42,77.0,-40.1875,-30.375,5077.0,-50.0,-30.375,77.0,-30.375000000000004,-30.375,19.624999999999996,77.0,-50.0,-30.375
43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77.0,-30.375000000000004,-30.375
